"country","iso_code","cases_total","deaths_total","cfr","shape2","shape1","cfr_hi","cfr_lo"
"Eswatini","SWZ",2,0,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Chad","TCD",1359,90,0.0662251655629139,1.85681002921483,0.0149952450185074,0.0807772377767796,0.0535857863575267
"Togo","TGO",405,19,0.0469135802469136,1.86566578000056,0.0141866221849332,0.0722939652409503,0.0284779537620786
"Tanzania","TZA",33830,524,0.0154892107596808,1.91330234333873,0.00801525413989932,0.0168622921776602,0.0142002577733701
"Uganda","UGA",9110,176,0.0193194291986828,1.90446471000032,0.00875570891657755,0.0223594610477533,0.0165925595846456
"South Africa","ZAF",1392,47,0.033764367816092,2.00771313905716,0.0117610454559317,0.0446483578245824,0.0249121594026403
"Zambia","ZMB",11373,271,0.0238283654268882,1.89181258073659,0.00929877141024829,0.0268002275667041,0.0211038322720454
"Zimbabwe","ZWE",25380,392,0.0154452324665091,1.92693817466497,0.00805402398109347,0.0170387756312296,0.0139640895492943
"Botswana","BWA",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Central African Republic","CAF",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Comoros","COM",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Cape Verde","CPV",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Djibouti","DJI",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Algeria","DZA",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Egypt","EGY",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Eritrea","ERI",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Gabon","GAB",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Gambia","GMB",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Equatorial Guinea","GNQ",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Libya","LBY",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Lesotho","LSO",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Morocco","MAR",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Madagascar","MDG",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Mauritania","MRT",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Mauritius","MUS",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Senegal","SEN",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Sierra Leone","SLE",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"São Tomé & Príncipe","STP",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Seychelles","SYC",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
"Tunisia","TUN",NA,NA,0.0193206172876467,1.90860857578018,0.00838656027299205,0.0195754465556822,0.019068243714935
