"country","iso_code","year","cases_total","region","cases_imported","cfr","deaths_total","cfr_hi","cfr_lo"
"Cameroon","CMR",1981,243,"AFRO",NA,0.0699588477366255,17,0.109649577114917,0.041278993489071
"Cameroon","CMR",1982,5,"AFRO",NA,0.6,3,0.947255049473683,0.146632799634673
"Cameroon","CMR",1983,55,"AFRO",NA,0.327272727272727,18,0.467071048235415,0.206808116867407
"Cameroon","CMR",1984,392,"AFRO",NA,0.153061224489796,60,0.192584685338102,0.118879038979501
"Cameroon","CMR",1985,1158,"AFRO",NA,0.0889464594127807,103,0.106836241069207,0.0731794739610575
"Cameroon","CMR",1986,165,"AFRO",NA,0.0727272727272727,12,0.123593391123777,0.0381420839857178
"Cameroon","CMR",1987,94,"AFRO",NA,0.0638297872340425,6,0.133767590474289,0.0237825602750494
"Cameroon","CMR",1988,4,"AFRO",NA,0,0,0.602364635616475,0
"Cameroon","CMR",1989,4,"AFRO",NA,0.5,2,0.932414013511457,0.067585986488543
"Cameroon","CMR",1990,16,"AFRO",NA,0,0,0.205907214207823,0
"Cameroon","CMR",1991,4026,"AFRO",NA,0.121957277694983,491,0.132464772668717,0.112001939544164
"Cameroon","CMR",1992,1268,"AFRO",NA,0.0520504731861199,66,0.0657479996152884,0.0404812514932748
"Cameroon","CMR",1993,648,"AFRO",NA,0.029320987654321,19,0.045410806650948,0.0177435163521946
"Cameroon","CMR",1994,527,"AFRO",NA,0.115749525616698,61,0.146192428349276,0.0897054912064369
"Cameroon","CMR",1995,615,"AFRO",NA,0.0341463414634146,21,0.0517242596850059,0.0212589831154755
"Cameroon","CMR",1996,5796,"AFRO",NA,0.0836783988957902,485,0.0911048651724488,0.0766742506435355
"Cameroon","CMR",1997,1709,"AFRO",NA,0.105324751316559,180,0.120854846404272,0.0911655608901685
"Cameroon","CMR",1998,4603,"AFRO",NA,0.0686508798609602,316,0.076341734022198,0.0615129200938793
"Cameroon","CMR",1999,1584,"AFRO",NA,0.0220959595959596,35,0.0305971463267144,0.0154377538927898
"Cameroon","CMR",2000,123,"AFRO",NA,0.235772357723577,29,0.320745740289405,0.163939212962985
"Cameroon","CMR",2001,259,"AFRO",NA,0.027027027027027,7,0.0548907366977623,0.0109338454292105
"Cameroon","CMR",2002,66,"AFRO",NA,0.121212121212121,8,0.224940155723158,0.0538108618418658
"Cameroon","CMR",2003,207,"AFRO",NA,0.173913043478261,36,0.232547147950006,0.124878859699763
"Cameroon","CMR",2004,8005,"AFRO",NA,0.0171143035602748,137,0.020200268682361,0.0143875148275046
"Cameroon","CMR",2005,2847,"AFRO",NA,0.0386371619248332,110,0.0463822918841644,0.0318600211902583
"Cameroon","CMR",2006,922,"AFRO",NA,0.0379609544468547,35,0.0524012934721599,0.026581031550212
"Cameroon","CMR",2007,10,"AFRO",NA,0.1,1,0.445016117028195,0.00252857854446179
"Cameroon","CMR",2008,0,"AFRO",NA,NA,0,NA,NA
"Cameroon","CMR",2009,804,"AFRO",NA,0.110696517412935,89,0.134449264475816,0.0898462401126804
"Cameroon","CMR",2010,10759,"AFRO",NA,0.0610651547541593,657,0.0657562486740156,0.0566133874423912
"Cameroon","CMR",2011,22433,"AFRO",NA,0.0349039361654705,783,0.0373890214016618,0.0325403269902524
"Cameroon","CMR",2012,363,"AFRO",NA,0.0137741046831956,5,0.0318498091941047,0.00448713863957953
"Cameroon","CMR",2013,29,"AFRO",NA,0,0,0.119444869069503,0
"Cameroon","CMR",2014,3355,"AFRO",NA,0.0548435171385991,184,0.0630929400788525,0.047381309537022
"Cameroon","CMR",2015,124,"AFRO",NA,0.0483870967741935,6,0.102344011534691,0.0179616716597109
"Cameroon","CMR",2018,1052,"AFRO",NA,0.0551330798479087,58,0.0706924821255517,0.0421275667019456
"Cameroon","CMR",2019,1840,"AFRO",NA,0.0505434782608696,93,0.0615639324650007,0.0409859629626282
"Cameroon","CMR",2020,1890,"AFRO",NA,0.0386243386243386,73,0.0483214633819212,0.0303952079860212
"Cameroon","CMR",2021,728,"AFRO",NA,0.0315934065934066,23,0.0470299909402901,0.0201307795925371
"Cape Verde","CPV",1974,303,"AFRO",NA,0.0264026402640264,8,0.0513589207551992,0.0114662170006299
"Cape Verde","CPV",1975,20,"AFRO",NA,0.15,3,0.378926826545314,0.0320709371854637
"Cape Verde","CPV",1976,219,"AFRO",NA,0.0776255707762557,17,0.121377896307068,0.0458685938836929
"Cape Verde","CPV",1994,128,"AFRO",NA,0.09375,12,0.158036366525835,0.0493854959653365
"Cape Verde","CPV",1995,12913,"AFRO",NA,0.0185859211647177,240,0.0210655964459098,0.0163267433413483
"Cape Verde","CPV",1996,428,"AFRO",NA,0.00700934579439252,3,0.0203466756353481,0.00144783478287332
"Cape Verde","CPV",1998,133,"AFRO",NA,0.0075187969924812,1,0.0411791150259017,0.000190341341316382
"Cape Verde","CPV",2005,0,"AFRO",NA,NA,0,NA,NA
"Cape Verde","CPV",2006,0,"AFRO",NA,NA,0,NA,NA
"Central African Republic","CAF",1997,443,"AFRO",NA,0.169300225733634,75,0.207531748792695,0.135556862969953
"Central African Republic","CAF",1998,22,"AFRO",NA,0.136363636363636,3,0.349122097257408,0.0290558511287467
"Central African Republic","CAF",2004,320,"AFRO",NA,0.15,48,0.193913124985151,0.112715080955113
"Central African Republic","CAF",2005,0,"AFRO",NA,NA,0,NA,NA
"Central African Republic","CAF",2006,0,"AFRO",NA,NA,0,NA,NA
"Central African Republic","CAF",2011,117,"AFRO",NA,0.128205128205128,15,0.202625999301555,0.0735652445436092
"Central African Republic","CAF",2012,21,"AFRO",NA,0,0,0.16109761521908,0
"Chad","TCD",1971,8230,"AFRO",NA,0.292952612393682,2411,0.302918117346346,0.283133899843927
"Chad","TCD",1972,9,"AFRO",NA,0.333333333333333,3,0.70070494379146,0.0748546314196918
"Chad","TCD",1974,338,"AFRO",NA,0.257396449704142,87,0.307486910594439,0.211613943652373
"Chad","TCD",1991,13915,"AFRO",NA,0.0965864175350341,1344,0.101615092306275,0.0917271685316162
"Chad","TCD",1994,1094,"AFRO",NA,0.0393053016453382,43,0.0525811492919611,0.0285888472341998
"Chad","TCD",1996,7830,"AFRO",NA,0.0572158365261814,448,0.062591104124678,0.0521732067375987
"Chad","TCD",1997,8801,"AFRO",NA,0.0503351891830474,443,0.0551108127948146,0.0458601182999879
"Chad","TCD",1998,4095,"AFRO",NA,0.0351648351648352,144,0.0412702019052348,0.0297349432797172
"Chad","TCD",1999,217,"AFRO",NA,0.0829493087557604,18,0.127927841113142,0.0499018083129733
"Chad","TCD",2001,5244,"AFRO",NA,0.0430968726163234,226,0.0489485327793718,0.0377609195113214
"Chad","TCD",2003,55,"AFRO",NA,0.127272727272727,7,0.244802720322025,0.0527351829637295
"Chad","TCD",2004,5531,"AFRO",NA,0.049177363948653,272,0.0552088792495902,0.0436273854598846
"Chad","TCD",2005,90,"AFRO",NA,0.155555555555556,14,0.247202580145516,0.0877358646161824
"Chad","TCD",2006,1668,"AFRO",NA,0.0425659472422062,71,0.0533904843242563,0.0333913949659392
"Chad","TCD",2007,0,"AFRO",NA,NA,0,NA,NA
"Chad","TCD",2009,67,"AFRO",NA,0.0895522388059701,6,0.184796166762284,0.0335769885596369
"Chad","TCD",2010,6395,"AFRO",NA,0.0273651290070367,175,0.0316638127107748,0.0235051393666465
"Chad","TCD",2011,17267,"AFRO",NA,0.0265245844674813,458,0.0290315422152319,0.0241788694350152
"Chad","TCD",2017,1266,"AFRO",NA,0.0679304897314376,86,0.0832162822559651,0.0546913443180983
"Chad","TCD",2019,93,"AFRO",NA,0.043010752688172,4,0.10647569031154,0.0118415110366696
"Comoros","COM",1975,2675,"AFRO",NA,0.0889719626168224,238,0.100402785153776,0.0784503464910783
"Comoros","COM",1976,5,"AFRO",NA,0.2,1,0.716417936118089,0.00505076337946806
"Comoros","COM",1998,7300,"AFRO",NA,0.00931506849315068,68,0.0117943221103826,0.00724056975588601
"Comoros","COM",1999,1180,"AFRO",NA,0.035593220338983,42,0.0478092200093928,0.0257705516598587
"Comoros","COM",2000,3297,"AFRO",NA,0.0276008492569002,91,0.0337807071762609,0.0222793749721933
"Comoros","COM",2001,226,"AFRO",NA,0.0176991150442478,4,0.0446942616064805,0.00484294246017614
"Comoros","COM",2002,1567,"AFRO",NA,0.0293554562858966,46,0.0389634551347824,0.0215703165296723
"Comoros","COM",2003,56,"AFRO",NA,0,0,0.0637500966623622,0
