"country","iso_code","region","year","cases_total","cases_imported","deaths_total","first_epiwk","last_epiwk","coverage_days","year_fraction","source","cfr","cfr_lo","cfr_hi"
"AFRO Region","AFRO","AFRO",2009,217333,NA,4883,2009-01-01,2009-12-31,365,1,"AFRO_aggregate",0.0224678258708986,0.0218488379103478,0.023099594906259
"AFRO Region","AFRO","AFRO",2010,115106,NA,3397,2010-01-01,2010-12-31,365,1,"AFRO_aggregate",0.0295119281358053,0.0285417802151504,0.0305058755055513
"AFRO Region","AFRO","AFRO",2011,186765,NA,4148,2011-01-01,2011-12-31,365,1,"AFRO_aggregate",0.0222097288035767,0.0215461392008404,0.0228882055247565
"AFRO Region","AFRO","AFRO",2012,117570,NA,2042,2012-01-01,2012-12-31,365,1,"AFRO_aggregate",0.0173683762864676,0.0166292964258097,0.0181313974843437
"AFRO Region","AFRO","AFRO",2013,56329,NA,1366,2013-01-01,2013-12-31,365,1,"AFRO_aggregate",0.0242503861243764,0.0229957551359837,0.0255543575854866
"AFRO Region","AFRO","AFRO",2014,102467,NA,1882,2014-01-01,2014-12-31,365,1,"AFRO_aggregate",0.0183668888520206,0.0175535179113718,0.0192076816681699
"AFRO Region","AFRO","AFRO",2015,71176,NA,937,2015-01-01,2015-12-31,365,1,"AFRO_aggregate",0.0131645498482635,0.012340066611773,0.0140290644729912
"AFRO Region","AFRO","AFRO",2016,71058,NA,1762,2016-01-01,2016-12-31,365,1,"AFRO_aggregate",0.0247966449942301,0.0236656766807521,0.0259666392171719
"AFRO Region","AFRO","AFRO",2017,179835,NA,3217,2017-01-01,2017-12-31,365,1,"AFRO_aggregate",0.0178886201240026,0.0172810165636963,0.0185118352265047
"AFRO Region","AFRO","AFRO",2018,120650,NA,2436,2018-01-01,2018-12-31,365,1,"AFRO_aggregate",0.0201906340654787,0.0194043857514284,0.0210000617402717
"AFRO Region","AFRO","AFRO",2019,55087,NA,880,2019-01-01,2019-12-31,365,1,"AFRO_aggregate",0.015974730880244,0.0149442233307137,0.0170566814317171
"AFRO Region","AFRO","AFRO",2020,47256,NA,741,2020-01-01,2020-12-31,365,1,"AFRO_aggregate",0.0156805485017776,0.0145796661054502,0.0168414954551368
"AFRO Region","AFRO","AFRO",2021,141467,NA,4094,2021-01-01,2021-12-31,365,1,"AFRO_aggregate",0.0289396113581259,0.0280721874777954,0.0298264133834468
"AFRO Region","AFRO","AFRO",2022,100437,NA,1955,2022-01-01,2022-12-31,365,1,"AFRO_aggregate",0.0194649382199787,0.0186194616107213,0.020338323192154
"AFRO Region","AFRO","AFRO",2023,179163,NA,2648,2023-01-01,2023-12-31,365,1,"AFRO_aggregate",0.014779837354811,0.0142261478639852,0.0153493074250892
"AFRO Region","AFRO","AFRO",2024,146911,NA,2692,2024-01-01,2024-12-31,365,1,"AFRO_aggregate",0.0183240193042046,0.0176443060223449,0.0190228361367933
"AFRO Region","AFRO","AFRO",2025,229364,NA,4971,2025-01-01,2025-12-31,365,1,"AFRO_aggregate",0.021672973962784,0.0210809258053525,0.0222771523946397
"Algeria","DZA","AFRO",1971,1332,NA,110,1971-01-01,1971-12-31,365,1,"OWiD",0.0825825825825826,0.068359342212249,0.0986780078613035
"Algeria","DZA","AFRO",1972,646,NA,71,1972-01-01,1972-12-31,365,1,"OWiD",0.109907120743034,0.0868416750671492,0.136605833365064
"Algeria","DZA","AFRO",1973,605,NA,74,1973-01-01,1973-12-31,365,1,"OWiD",0.122314049586777,0.0972751793969925,0.151106455658764
"Algeria","DZA","AFRO",1974,738,NA,50,1974-01-01,1974-12-31,365,1,"OWiD",0.0677506775067751,0.0507005189183667,0.0883484210104691
"Algeria","DZA","AFRO",1975,1165,NA,118,1975-01-01,1975-12-31,365,1,"OWiD",0.101287553648069,0.0845569709471753,0.120060875483455
"Algeria","DZA","AFRO",1976,286,NA,30,1976-01-01,1976-12-31,365,1,"OWiD",0.104895104895105,0.071899025036271,0.146350356480526
"Algeria","DZA","AFRO",1977,262,NA,9,1977-01-01,1977-12-31,365,1,"OWiD",0.0343511450381679,0.0158256239376785,0.0642054201248482
"Algeria","DZA","AFRO",1978,220,NA,13,1978-01-01,1978-12-31,365,1,"OWiD",0.0590909090909091,0.0318352057473533,0.0989276585683782
"Algeria","DZA","AFRO",1979,2513,NA,94,1979-01-01,1979-12-31,365,1,"OWiD",0.0374054914444887,0.0303311579072076,0.0455820705275463
"Algeria","DZA","AFRO",1980,614,NA,18,1980-01-01,1980-12-31,365,1,"OWiD",0.0293159609120521,0.0174650951278395,0.045937179368008
"Algeria","DZA","AFRO",1983,218,NA,9,1983-01-01,1983-12-31,365,1,"OWiD",0.0412844036697248,0.0190489233782772,0.0769214957824178
"Algeria","DZA","AFRO",1984,45,NA,0,1984-01-01,1984-12-31,365,1,"OWiD",0,0,0.0787051004068431
"Algeria","DZA","AFRO",1987,1507,NA,0,1987-01-01,1987-12-31,365,1,"OWiD",0,0,0.00244483627158627
"Algeria","DZA","AFRO",1988,699,NA,30,1988-01-01,1988-12-31,365,1,"OWiD",0.0429184549356223,0.0291411763059161,0.0607042607115623
