"country","latitude","longitude","elevation"
"GNQ",1.53369057732485,10.9276490748464,695
"GNQ",1.95435032747264,10.5302082952419,441
"ERI",14.7647427787723,37.6250847842597,1010
"ERI",15.0390847938986,37.6072814644377,1096
"ERI",15.2989167935213,38.3334233866856,863
"ERI",16.689432288632,37.9438092110978,546
"ERI",15.3923110292655,38.5305903318004,964
"ERI",16.5113747288965,38.92795532862,243
"ERI",17.6189641739009,38.6762306937543,89
"ERI",15.1240960925036,39.5963153251466,586
"ERI",15.5402614612126,36.9975237771482,733
"ERI",14.5544128690445,37.1068892969308,854
"SWZ",-27.1553731031799,31.3070193058899,914
"SWZ",-26.7115600853338,31.2675936921734,813
"SWZ",-26.438745973769,32.0423106578085,486
"SWZ",-27.0621413657297,31.0309671841419,1032
"SWZ",-26.5146250667611,31.6719556419585,451
